date,close,open,high,low,volume
2020-11-16T00:00:00-05:00,21.73,21.3,21.96,21.3,1150900.0
2020-11-17T00:00:00-05:00,21.87,21.34,21.99,21.27,799802.0
2020-11-18T00:00:00-05:00,20.81,22.0,22.09,20.81,1185300.0
2020-11-19T00:00:00-05:00,20.96,20.7,21.25,20.66,630604.0
2020-11-20T00:00:00-05:00,20.75,20.9,20.98,20.5,576039.0
2020-11-23T00:00:00-05:00,20.74,21.0,21.15,20.54,1194983.0
2020-11-24T00:00:00-05:00,21.38,21.15,21.43,20.86,1562400.0
2020-11-25T00:00:00-05:00,20.97,21.3,21.33,20.85,673333.0
2020-11-27T00:00:00-05:00,20.91,20.89,21.19,20.65,446300.0
2020-11-30T00:00:00-05:00,19.91,20.72,20.72,19.91,1246232.0
2020-12-01T00:00:00-05:00,20.88,20.95,21.19,20.59,1519527.0
2020-12-02T00:00:00-05:00,20.39,20.83,20.83,20.28,1222704.0
2020-12-03T00:00:00-05:00,19.49,19.76,20.2,19.46,1520845.0
2020-12-04T00:00:00-05:00,19.93,19.7,20.12,19.63,1524059.0
2020-12-07T00:00:00-05:00,20.18,19.86,20.18,19.63,1138600.0
2020-12-08T00:00:00-05:00,20.65,19.92,20.66,19.89,1215200.0
2020-12-09T00:00:00-05:00,20.46,20.77,20.99,20.27,1115800.0
2020-12-10T00:00:00-05:00,20.54,20.33,20.81,20.15,941317.0
2020-12-11T00:00:00-05:00,19.9,20.25,20.32,19.65,1351700.0
2020-12-14T00:00:00-05:00,19.76,20.21,20.46,19.73,1558732.0
2020-12-15T00:00:00-05:00,20.6,20.12,20.63,19.75,1160734.0
2020-12-16T00:00:00-05:00,20.73,20.7,20.84,20.46,919255.0
2020-12-17T00:00:00-05:00,20.49,20.86,20.87,20.29,1104107.0
2020-12-18T00:00:00-05:00,20.08,20.5,20.56,20.04,3086200.0
2020-12-21T00:00:00-05:00,20.22,19.62,20.25,19.62,1170564.0
2020-12-22T00:00:00-05:00,19.97,20.27,20.33,19.96,587204.0
2020-12-23T00:00:00-05:00,19.98,20.05,20.28,19.91,794200.0
2020-12-24T00:00:00-05:00,20.02,19.99,20.02,19.61,275443.0
2020-12-28T00:00:00-05:00,20.15,20.14,20.41,19.84,730889.0
2020-12-29T00:00:00-05:00,19.88,20.14,20.28,19.79,799467.0
2020-12-30T00:00:00-05:00,20.28,19.91,20.42,19.91,794200.0
2020-12-31T00:00:00-05:00,20.54,20.28,20.67,20.04,1174546.0
2021-01-04T00:00:00-05:00,20.45,20.91,21.61,20.33,1453718.0
2021-01-05T00:00:00-05:00,21.17,20.39,21.4,20.39,1056245.0
2021-01-06T00:00:00-05:00,23.49,21.9,23.91,21.67,2572500.0
2021-01-07T00:00:00-05:00,23.2,23.88,24.16,23.07,2170934.0
2021-01-08T00:00:00-05:00,22.56,22.5,22.81,21.82,2274106.0
2021-01-11T00:00:00-05:00,21.66,22.0,22.48,21.39,1806129.0
2021-01-12T00:00:00-05:00,22.69,21.2,22.98,20.96,1818375.0
2021-01-13T00:00:00-05:00,22.05,22.6,22.6,21.82,1096500.0
2021-01-14T00:00:00-05:00,21.88,22.42,22.59,21.85,1301729.0
2021-01-15T00:00:00-05:00,21.29,21.4,21.44,20.89,1169039.0
2021-01-19T00:00:00-05:00,21.31,21.5,22.02,21.24,1190500.0
2021-01-20T00:00:00-05:00,21.19,21.34,21.49,20.91,1311427.0
2021-01-21T00:00:00-05:00,21.03,21.17,21.44,20.79,1266223.0
2021-01-22T00:00:00-05:00,21.52,20.6,21.55,20.43,1212962.0
2021-01-25T00:00:00-05:00,21.23,21.6,21.78,20.9,1384886.0
