date,close,open,high,low,volume
2020-11-16T00:00:00-05:00,54.3,53.21,54.74,52.1,3099716.0
2020-11-17T00:00:00-05:00,53.86,53.52,54.22,53.2,1662224.0
2020-11-18T00:00:00-05:00,52.92,54.23,54.38,52.91,1442128.0
2020-11-19T00:00:00-05:00,52.83,52.64,53.47,52.35,1332100.0
2020-11-20T00:00:00-05:00,52.55,52.64,52.93,52.3,1016009.0
2020-11-23T00:00:00-05:00,53.67,53.36,53.95,52.74,1560210.0
2020-11-24T00:00:00-05:00,56.42,54.39,56.5,54.34,2235893.0
2020-11-25T00:00:00-05:00,54.78,55.62,55.92,54.52,2703900.0
2020-11-27T00:00:00-05:00,55.07,54.96,55.73,54.73,1052600.0
2020-11-30T00:00:00-05:00,53.7,54.7,55.34,53.69,2847271.0
2020-12-01T00:00:00-05:00,54.93,55.15,55.67,54.75,1873500.0
2020-12-02T00:00:00-05:00,55.1,55.03,55.96,54.83,1839500.0
2020-12-03T00:00:00-05:00,54.8,55.3,55.93,54.55,1791813.0
2020-12-04T00:00:00-05:00,56.42,55.68,57.0,55.18,1675212.0
2020-12-07T00:00:00-05:00,55.94,55.99,56.73,55.6,1769800.0
2020-12-08T00:00:00-05:00,56.54,55.42,57.5,55.42,2056207.0
2020-12-09T00:00:00-05:00,56.43,57.03,57.39,56.0,1458045.0
2020-12-10T00:00:00-05:00,57.11,56.16,57.22,55.76,1443200.0
2020-12-11T00:00:00-05:00,56.64,56.55,56.92,55.45,1492600.0
2020-12-14T00:00:00-05:00,55.66,57.35,57.42,55.48,1888700.0
2020-12-15T00:00:00-05:00,56.57,56.52,56.77,55.64,1491593.0
2020-12-16T00:00:00-05:00,56.44,56.51,56.77,55.78,1476467.0
2020-12-17T00:00:00-05:00,55.45,56.97,57.03,55.4,1973517.0
2020-12-18T00:00:00-05:00,53.93,55.46,55.46,53.73,4603593.0
2020-12-21T00:00:00-05:00,54.14,53.0,54.23,52.77,1450320.0
2020-12-22T00:00:00-05:00,53.09,54.21,54.39,52.8,1720321.0
2020-12-23T00:00:00-05:00,52.57,53.36,53.55,52.43,1564325.0
2020-12-24T00:00:00-05:00,52.44,52.94,52.96,52.01,620130.0
2020-12-28T00:00:00-05:00,52.11,52.6,53.03,52.03,1425451.0
2020-12-29T00:00:00-05:00,52.08,52.21,52.93,51.96,1222600.0
2020-12-30T00:00:00-05:00,52.94,51.81,53.14,51.78,1582539.0
2020-12-31T00:00:00-05:00,53.19,52.95,53.38,52.23,1283412.0
2021-01-04T00:00:00-05:00,52.51,54.18,54.65,52.24,2308934.0
2021-01-05T00:00:00-05:00,54.07,52.52,54.53,52.47,2223660.0
2021-01-06T00:00:00-05:00,57.02,56.36,57.55,55.68,3291300.0
2021-01-07T00:00:00-05:00,56.19,57.64,57.75,55.67,2229484.0
2021-01-08T00:00:00-05:00,56.02,56.21,56.6,54.76,2720829.0
2021-01-11T00:00:00-05:00,56.8,54.95,57.52,54.64,1858165.0
2021-01-12T00:00:00-05:00,58.1,57.0,58.52,56.28,2308400.0
2021-01-13T00:00:00-05:00,56.71,57.8,57.96,56.37,1876007.0
