date,close,open,high,low,volume
2020-11-16T00:00:00-05:00,11.1,10.89,11.24,10.77,15354814.0
2020-11-17T00:00:00-05:00,11.1,10.98,11.21,10.75,7363600.0
2020-11-18T00:00:00-05:00,10.93,11.15,11.55,10.92,11265234.0
2020-11-19T00:00:00-05:00,11.09,10.92,11.14,10.72,9309512.0
2020-11-20T00:00:00-05:00,10.96,11.15,11.25,10.94,6528914.0
2020-11-23T00:00:00-05:00,11.56,11.18,11.63,11.18,11291000.0
2020-11-24T00:00:00-05:00,14.25,12.0,14.33,11.96,36482800.0
2020-11-25T00:00:00-05:00,14.38,14.0,14.5,13.68,16983600.0
2020-11-27T00:00:00-05:00,14.55,14.6,14.88,14.25,7793100.0
2020-11-30T00:00:00-05:00,14.19,14.45,14.59,14.13,8788211.0
2020-12-01T00:00:00-05:00,15.06,14.68,15.85,14.64,19445278.0
2020-12-02T00:00:00-05:00,15.57,14.98,15.7,14.65,11939305.0
2020-12-03T00:00:00-05:00,15.22,15.82,15.85,15.1,11733622.0
2020-12-04T00:00:00-05:00,16.69,15.49,16.97,15.45,17779400.0
2020-12-07T00:00:00-05:00,17.19,16.6,17.81,16.42,17165242.0
2020-12-08T00:00:00-05:00,19.47,17.58,19.58,17.28,33617400.0
2020-12-09T00:00:00-05:00,18.25,19.75,20.0,18.02,30108200.0
2020-12-10T00:00:00-05:00,18.85,17.94,19.01,17.77,15151316.0
2020-12-11T00:00:00-05:00,18.31,18.5,18.66,17.33,18171912.0
2020-12-14T00:00:00-05:00,17.26,18.6,18.83,17.24,14736502.0
2020-12-15T00:00:00-05:00,17.92,17.61,18.03,17.03,10983804.0
2020-12-16T00:00:00-05:00,18.37,18.0,18.5,17.82,9585718.0
2020-12-17T00:00:00-05:00,18.56,18.57,18.68,18.21,8565649.0
2020-12-18T00:00:00-05:00,16.87,18.24,18.24,16.79,23353338.0
2020-12-21T00:00:00-05:00,17.38,16.36,17.57,16.26,11284300.0
2020-12-22T00:00:00-05:00,16.88,17.51,17.51,16.77,8541594.0
2020-12-23T00:00:00-05:00,16.87,17.0,17.68,16.86,9871023.0
2020-12-24T00:00:00-05:00,16.79,17.02,17.12,16.67,4423416.0
2020-12-28T00:00:00-05:00,16.31,16.99,17.09,16.22,9565000.0
2020-12-29T00:00:00-05:00,16.44,16.28,16.64,15.88,9001812.0
2020-12-30T00:00:00-05:00,16.84,16.47,17.23,16.36,9033809.0
2020-12-31T00:00:00-05:00,16.77,16.75,17.05,16.51,6677140.0
2021-01-04T00:00:00-05:00,17.14,17.24,17.65,16.86,11577300.0
2021-01-05T00:00:00-05:00,18.2,17.12,18.73,17.07,16848200.0
2021-01-06T00:00:00-05:00,21.32,18.74,21.83,18.57,36743218.0
2021-01-07T00:00:00-05:00,20.45,21.67,22.42,20.15,25312314.0
2021-01-08T00:00:00-05:00,22.29,21.34,23.28,20.95,27600025.0
2021-01-11T00:00:00-05:00,22.77,21.6,23.47,21.47,17828850.0
2021-01-12T00:00:00-05:00,23.86,22.96,24.71,22.77,22193925.0
2021-01-13T00:00:00-05:00,22.6,23.75,24.04,22.17,17614903.0
2021-01-14T00:00:00-05:00,22.14,23.0,23.49,22.05,15601300.0
2021-01-15T00:00:00-05:00,20.88,21.48,21.68,20.38,20005400.0
2021-01-19T00:00:00-05:00,21.31,21.61,22.08,21.21,12068700.0
2021-01-20T00:00:00-05:00,20.56,21.73,22.1,20.43,12682800.0
2021-01-21T00:00:00-05:00,19.23,20.39,20.6,19.15,16650891.0
2021-01-22T00:00:00-05:00,18.91,18.57,19.19,18.27,15517942.0
2021-01-25T00:00:00-05:00,19.03,19.25,19.32,18.37,17122100.0
2021-01-26T00:00:00-05:00,18.14,19.18,19.39,17.97,14989823.0
2021-01-27T00:00:00-05:00,18.38,17.5,19.15,16.95,19978423.0
2021-01-28T00:00:00-05:00,18.73,18.94,19.6,18.72,18147744.0
2021-01-29T00:00:00-05:00,17.76,19.9,20.35,17.66,22642607.0
2021-02-01T00:00:00-05:00,18.15,18.06,18.43,17.62,12077135.0
2021-02-02T00:00:00-05:00,17.64,18.28,18.33,17.37,13896127.0
2021-02-03T00:00:00-05:00,16.26,16.25,16.7,16.13,56607810.0
2021-02-04T00:00:00-05:00,16.5,16.48,16.65,16.17,34530112.0
2021-02-05T00:00:00-05:00,16.55,16.65,17.1,16.45,22388848.0
2021-02-08T00:00:00-05:00,16.84,16.95,17.36,16.72,21243921.0
2021-02-09T00:00:00-05:00,16.44,16.88,16.97,16.18,15202500.0
2021-02-10T00:00:00-05:00,16.41,16.71,16.86,16.16,15651014.0
2021-02-11T00:00:00-05:00,16.52,16.52,16.89,16.17,10781125.0
2021-02-12T00:00:00-05:00,16.5,16.45,16.65,16.26,9918136.0
2021-02-16T00:00:00-05:00,18.48,16.87,18.5,16.72,27733249.0
2021-02-17T00:00:00-05:00,17.88,18.62,19.05,17.76,24514447.0
2021-02-18T00:00:00-05:00,17.0,18.07,18.29,16.98,20243407.0
2021-02-19T00:00:00-05:00,17.9,17.22,18.05,17.21,12006500.0
2021-02-22T00:00:00-05:00,18.87,17.99,19.87,17.88,22917603.0
2021-02-23T00:00:00-05:00,18.14,18.19,18.63,17.2,18062840.0
2021-02-24T00:00:00-05:00,19.31,18.23,19.54,18.1,20896400.0
2021-02-25T00:00:00-05:00,17.59,19.62,20.11,17.39,29960400.0
2021-02-26T00:00:00-05:00,16.61,17.6,17.87,16.36,23949408.0
2021-03-01T00:00:00-05:00,18.3,17.0,18.48,16.95,17290000.0
2021-03-02T00:00:00-05:00,18.57,18.44,19.27,18.18,17714800.0
2021-03-03T00:00:00-05:00,18.75,18.8,19.61,18.51,20102800.0
2021-03-04T00:00:00-05:00,17.52,18.44,18.69,16.82,22777108.0
2021-03-05T00:00:00-05:00,18.15,17.87,18.43,17.0,20098500.0
2021-03-08T00:00:00-05:00,20.62,18.44,21.0,18.38,31624400.0
2021-03-09T00:00:00-05:00,20.86,20.1,21.25,19.43,25851600.0
2021-03-10T00:00:00-05:00,20.86,20.65,21.4,20.35,17462809.0
2021-03-11T00:00:00-05:00,22.33,21.39,22.45,21.2,16463437.0
2021-03-12T00:00:00-05:00,24.17,22.24,24.46,22.1,24718840.0
2021-03-15T00:00:00-04:00,23.14,24.28,24.28,22.19,26503702.0
2021-03-16T00:00:00-04:00,21.31,22.98,23.08,21.1,22376735.0
2021-03-17T00:00:00-04:00,22.04,21.13,22.48,21.01,20863040.0
2021-03-18T00:00:00-04:00,22.65,22.06,23.96,22.05,23910208.0
2021-03-19T00:00:00-04:00,22.41,22.62,23.02,21.66,20094200.0
2021-03-22T00:00:00-04:00,21.79,22.33,22.76,21.62,11148414.0
2021-03-23T00:00:00-04:00,19.86,21.17,21.8,19.29,19242100.0
2021-03-24T00:00:00-04:00,19.57,20.38,21.18,19.53,17388524.0
2021-03-25T00:00:00-04:00,20.37,19.18,20.67,18.61,21803900.0
2021-03-26T00:00:00-04:00,22.75,21.11,23.0,20.61,23857600.0
2021-03-29T00:00:00-04:00,23.58,22.5,25.23,22.31,37189711.0
2021-03-30T00:00:00-04:00,25.63,24.17,25.97,23.6,39258000.0
2021-03-31T00:00:00-04:00,26.17,26.31,27.4,25.33,44729737.0
2021-04-01T00:00:00-04:00,25.0,25.64,26.03,24.51,28592600.0
2021-04-05T00:00:00-04:00,24.63,25.5,26.44,24.62,19977445.0
2021-04-06T00:00:00-04:00,24.03,24.56,24.88,23.54,18339200.0
2021-04-07T00:00:00-04:00,23.62,24.42,24.6,23.54,14122247.0
2021-04-08T00:00:00-04:00,22.72,23.53,23.58,21.95,24793134.0
2021-04-09T00:00:00-04:00,22.02,22.79,23.19,21.93,16318606.0
2021-04-12T00:00:00-04:00,21.23,22.0,22.1,20.9,17989800.0
2021-04-13T00:00:00-04:00,21.32,21.29,21.89,20.92,16982400.0
2021-04-14T00:00:00-04:00,22.87,21.61,23.44,21.56,25584700.0
2021-04-15T00:00:00-04:00,22.15,23.32,23.55,21.67,23533121.0
2021-04-16T00:00:00-04:00,22.67,22.4,22.84,21.88,15501036.0
2021-04-19T00:00:00-04:00,22.84,22.56,23.93,22.46,24638325.0
2021-04-20T00:00:00-04:00,21.47,22.8,22.9,21.04,18450800.0
2021-04-21T00:00:00-04:00,22.41,21.12,22.48,20.66,15452121.0
2021-04-22T00:00:00-04:00,22.27,22.48,22.89,21.85,18003029.0
