date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,2.98,2.85,3.0,2.85,74064875.0
2020-11-17T00:00:00+08:00,2.97,2.99,3.02,2.94,65049579.0
2020-11-18T00:00:00+08:00,3.0,2.97,3.01,2.93,48249330.0
2020-11-19T00:00:00+08:00,2.94,3.01,3.02,2.92,34836292.0
2020-11-20T00:00:00+08:00,2.98,2.94,2.99,2.9,30971864.0
2020-11-23T00:00:00+08:00,3.02,2.99,3.08,2.96,72872318.0
2020-11-24T00:00:00+08:00,3.02,3.02,3.04,2.98,39656135.0
2020-11-25T00:00:00+08:00,3.04,3.06,3.17,3.03,83174520.0
2020-11-26T00:00:00+08:00,3.1,3.07,3.12,3.03,54795410.0
2020-11-27T00:00:00+08:00,3.25,3.15,3.35,3.13,110141941.0
2020-11-30T00:00:00+08:00,3.14,3.17,3.29,3.12,126657034.0
2020-12-01T00:00:00+08:00,3.19,3.15,3.21,3.12,51343355.0
2020-12-02T00:00:00+08:00,3.2,3.21,3.25,3.17,37220335.0
2020-12-03T00:00:00+08:00,3.13,3.2,3.21,3.13,36359977.0
2020-12-04T00:00:00+08:00,3.16,3.14,3.16,3.08,44016171.0
2020-12-07T00:00:00+08:00,3.07,3.14,3.16,3.06,27813405.0
2020-12-08T00:00:00+08:00,3.04,3.07,3.09,3.03,22285548.0
2020-12-09T00:00:00+08:00,3.03,3.05,3.08,3.02,19459434.0
2020-12-10T00:00:00+08:00,3.19,3.06,3.23,3.03,76056671.0
2020-12-11T00:00:00+08:00,3.17,3.22,3.27,3.13,59602783.0
2020-12-14T00:00:00+08:00,3.11,3.17,3.17,3.05,45780587.0
2020-12-15T00:00:00+08:00,3.1,3.08,3.12,3.04,24044657.0
2020-12-16T00:00:00+08:00,3.08,3.1,3.13,3.06,17143420.0
2020-12-17T00:00:00+08:00,3.19,3.09,3.21,3.06,39116596.0
2020-12-18T00:00:00+08:00,3.2,3.19,3.24,3.18,42817606.0
