date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,6.54,6.38,6.59,6.29,157797420.0
2020-11-17T00:00:00+08:00,6.36,6.51,6.56,6.28,111739526.0
2020-11-18T00:00:00+08:00,6.31,6.32,6.48,6.23,120487116.0
2020-11-19T00:00:00+08:00,6.29,6.31,6.37,6.16,106275032.0
2020-11-20T00:00:00+08:00,6.49,6.3,6.51,6.24,119093760.0
2020-11-23T00:00:00+08:00,6.39,6.49,6.62,6.32,184351065.0
2020-11-24T00:00:00+08:00,6.52,6.42,6.55,6.33,137050551.0
2020-11-25T00:00:00+08:00,6.38,6.59,6.61,6.38,115901852.0
2020-11-26T00:00:00+08:00,6.38,6.39,6.42,6.28,61888241.0
2020-11-27T00:00:00+08:00,6.32,6.36,6.54,6.21,146815785.0
2020-11-30T00:00:00+08:00,6.21,6.32,6.53,6.21,160529023.0
2020-12-01T00:00:00+08:00,6.3,6.29,6.32,6.18,119091048.0
2020-12-02T00:00:00+08:00,6.47,6.35,6.47,6.3,130645302.0
2020-12-03T00:00:00+08:00,6.2,6.41,6.43,6.18,162303822.0
2020-12-04T00:00:00+08:00,6.07,6.17,6.17,5.9,165204126.0
2020-12-07T00:00:00+08:00,5.96,6.07,6.11,5.89,133879627.0
2020-12-08T00:00:00+08:00,5.97,5.99,6.03,5.93,61577820.0
2020-12-09T00:00:00+08:00,5.92,5.99,6.07,5.9,71408634.0
2020-12-10T00:00:00+08:00,6.16,6.0,6.19,5.99,160216703.0
2020-12-11T00:00:00+08:00,6.11,6.22,6.24,5.94,112526026.0
2020-12-14T00:00:00+08:00,5.96,6.05,6.09,5.84,113727229.0
2020-12-15T00:00:00+08:00,5.91,5.97,6.0,5.82,83021817.0
2020-12-16T00:00:00+08:00,5.88,5.92,6.01,5.83,70606919.0
2020-12-17T00:00:00+08:00,6.12,5.89,6.13,5.85,122598567.0
2020-12-18T00:00:00+08:00,6.23,6.1,6.32,6.1,101617508.0
2020-12-21T00:00:00+08:00,6.2,6.24,6.34,6.16,86813177.0
2020-12-22T00:00:00+08:00,5.93,6.23,6.27,5.9,125482689.0
2020-12-23T00:00:00+08:00,6.03,5.92,6.04,5.89,81799457.0
2020-12-24T00:00:00+08:00,5.94,6.04,6.1,5.91,52251995.0
2020-12-25T00:00:00+08:00,6.06,5.92,6.07,5.91,51605291.0
2020-12-28T00:00:00+08:00,5.99,6.04,6.07,5.94,60422246.0
2020-12-29T00:00:00+08:00,5.88,6.01,6.02,5.87,67368922.0
2020-12-30T00:00:00+08:00,5.97,5.91,6.02,5.89,57562928.0
2020-12-31T00:00:00+08:00,5.95,5.95,5.99,5.89,63801694.0
2021-01-04T00:00:00+08:00,6.09,5.96,6.13,5.9,102953697.0
2021-01-05T00:00:00+08:00,5.94,6.09,6.09,5.84,126137592.0
2021-01-06T00:00:00+08:00,5.95,5.9,6.02,5.9,102015498.0
2021-01-07T00:00:00+08:00,6.36,6.02,6.37,6.02,236557004.0
2021-01-08T00:00:00+08:00,6.56,6.39,6.56,6.21,178693900.0
2021-01-11T00:00:00+08:00,6.29,6.58,6.65,6.26,182730525.0
2021-01-12T00:00:00+08:00,6.35,6.25,6.41,6.23,109759992.0
2021-01-13T00:00:00+08:00,6.5,6.3,6.58,6.22,148898985.0
2021-01-14T00:00:00+08:00,6.84,6.45,6.87,6.28,237601992.0
2021-01-15T00:00:00+08:00,6.35,6.75,6.79,6.34,223239174.0
2021-01-18T00:00:00+08:00,6.29,6.26,6.35,6.18,108615672.0
2021-01-19T00:00:00+08:00,6.21,6.29,6.3,6.16,107386373.0
2021-01-20T00:00:00+08:00,6.82,6.59,6.83,6.59,376176750.0
2021-01-21T00:00:00+08:00,6.81,6.75,6.84,6.66,202989395.0
2021-01-22T00:00:00+08:00,6.65,6.77,6.78,6.64,123457770.0
2021-01-25T00:00:00+08:00,6.83,6.6,7.03,6.59,181114214.0
2021-01-26T00:00:00+08:00,7.03,6.8,7.15,6.8,241287680.0
2021-01-27T00:00:00+08:00,6.98,7.05,7.2,6.93,150724624.0
2021-01-28T00:00:00+08:00,6.79,6.9,6.99,6.75,132863886.0
2021-01-29T00:00:00+08:00,6.56,6.8,6.86,6.5,141258968.0
2021-02-01T00:00:00+08:00,6.58,6.54,6.64,6.45,99778633.0
2021-02-02T00:00:00+08:00,6.51,6.54,6.59,6.36,119884282.0
2021-02-03T00:00:00+08:00,6.65,6.47,6.72,6.39,123978416.0
2021-02-04T00:00:00+08:00,6.65,6.59,6.68,6.39,139720909.0
2021-02-05T00:00:00+08:00,6.67,6.64,6.82,6.59,102763116.0
2021-02-08T00:00:00+08:00,6.84,6.68,6.85,6.62,127948935.0
2021-02-09T00:00:00+08:00,6.93,6.8,6.97,6.75,116681285.0
2021-02-10T00:00:00+08:00,6.81,6.91,6.92,6.72,164014430.0
2021-02-18T00:00:00+08:00,7.15,7.0,7.24,6.99,205883231.0
2021-02-19T00:00:00+08:00,7.28,7.08,7.28,7.05,154136257.0
2021-02-22T00:00:00+08:00,8.0,7.45,8.01,7.38,429221720.0
2021-02-23T00:00:00+08:00,7.94,8.09,8.16,7.84,272749570.0
2021-02-24T00:00:00+08:00,7.54,7.91,7.96,7.48,232058521.0
2021-02-25T00:00:00+08:00,7.75,7.67,7.9,7.66,216304190.0
2021-02-26T00:00:00+08:00,7.52,7.47,7.72,7.39,180962496.0
2021-03-01T00:00:00+08:00,8.04,7.6,8.16,7.6,287601650.0
2021-03-02T00:00:00+08:00,7.99,8.19,8.36,7.85,239525084.0
2021-03-03T00:00:00+08:00,8.74,8.16,8.78,8.15,446334730.0
2021-03-04T00:00:00+08:00,8.6,8.58,9.06,8.53,382785260.0
2021-03-05T00:00:00+08:00,7.93,8.22,8.3,7.86,303546370.0
2021-03-08T00:00:00+08:00,8.03,8.2,8.5,7.9,241818946.0
2021-03-09T00:00:00+08:00,8.49,8.01,8.83,7.89,417491840.0
2021-03-10T00:00:00+08:00,8.3,8.32,8.9,8.16,267466314.0
2021-03-11T00:00:00+08:00,8.87,8.3,8.94,8.18,276226160.0
2021-03-12T00:00:00+08:00,9.07,9.05,9.15,8.66,304116280.0
2021-03-15T00:00:00+08:00,9.13,9.2,9.54,8.85,263715634.0
2021-03-16T00:00:00+08:00,8.95,8.94,9.02,8.61,202668717.0
2021-03-17T00:00:00+08:00,8.68,8.76,8.83,8.38,228372851.0
2021-03-18T00:00:00+08:00,8.92,8.77,9.23,8.64,192378114.0
2021-03-19T00:00:00+08:00,9.02,8.72,9.07,8.69,175744026.0
2021-03-22T00:00:00+08:00,8.96,9.15,9.45,8.94,160560245.0
2021-03-23T00:00:00+08:00,8.54,8.88,9.1,8.48,196585081.0
2021-03-24T00:00:00+08:00,8.03,8.45,8.45,7.92,234090980.0
2021-03-25T00:00:00+08:00,7.92,7.91,8.11,7.75,164113216.0
2021-03-26T00:00:00+08:00,8.14,8.02,8.19,7.98,103297604.0
2021-03-29T00:00:00+08:00,8.21,8.21,8.35,8.05,155515227.0
2021-03-30T00:00:00+08:00,8.19,8.15,8.24,8.01,109578456.0
2021-03-31T00:00:00+08:00,8.08,8.3,8.32,8.02,92770731.0
2021-04-01T00:00:00+08:00,8.43,8.08,8.57,8.0,159641365.0
2021-04-02T00:00:00+08:00,8.18,8.34,8.38,8.03,121863208.0
2021-04-06T00:00:00+08:00,8.23,8.24,8.45,8.19,101341138.0
2021-04-07T00:00:00+08:00,8.5,8.19,8.69,8.08,195653236.0
2021-04-08T00:00:00+08:00,8.61,8.48,8.82,8.41,204346921.0
2021-04-09T00:00:00+08:00,8.66,8.67,8.8,8.43,156576381.0
2021-04-12T00:00:00+08:00,8.4,8.66,8.76,8.28,209024922.0
2021-04-13T00:00:00+08:00,8.21,8.27,8.3,8.08,116511834.0
2021-04-14T00:00:00+08:00,8.26,8.19,8.38,8.12,93934370.0
2021-04-15T00:00:00+08:00,8.24,8.26,8.35,8.1,67711297.0
2021-04-16T00:00:00+08:00,8.27,8.21,8.45,8.19,104673568.0
2021-04-19T00:00:00+08:00,8.23,8.2,8.33,8.12,77099333.0
2021-04-20T00:00:00+08:00,8.42,8.14,8.47,8.11,154297008.0
2021-04-21T00:00:00+08:00,8.07,8.36,8.36,8.02,159581751.0
2021-04-22T00:00:00+08:00,8.29,8.12,8.58,8.12,204696927.0
2021-04-23T00:00:00+08:00,8.64,8.27,8.74,8.22,205330275.0
