date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,3.34,3.3,3.37,3.26,5379793.0
2020-11-17T00:00:00+08:00,3.35,3.33,3.37,3.33,3905817.0
2020-11-18T00:00:00+08:00,3.36,3.35,3.38,3.33,2091901.0
2020-11-19T00:00:00+08:00,3.32,3.34,3.36,3.31,3497400.0
2020-11-20T00:00:00+08:00,3.36,3.32,3.38,3.28,4703107.0
2020-11-23T00:00:00+08:00,3.41,3.35,3.44,3.35,5593873.0
2020-11-24T00:00:00+08:00,3.41,3.38,3.44,3.36,5752483.0
2020-11-25T00:00:00+08:00,3.37,3.43,3.45,3.37,6089400.0
2020-11-26T00:00:00+08:00,3.35,3.35,3.38,3.33,2927800.0
2020-11-27T00:00:00+08:00,3.38,3.36,3.42,3.35,3522587.0
2020-11-30T00:00:00+08:00,3.38,3.38,3.44,3.36,4644500.0
2020-12-01T00:00:00+08:00,3.4,3.35,3.41,3.35,4104454.0
2020-12-02T00:00:00+08:00,3.42,3.39,3.44,3.38,5001068.0
2020-12-03T00:00:00+08:00,3.41,3.42,3.42,3.35,3643749.0
2020-12-04T00:00:00+08:00,3.38,3.38,3.4,3.36,2547248.0
2020-12-07T00:00:00+08:00,3.34,3.37,3.39,3.34,2484600.0
2020-12-08T00:00:00+08:00,3.32,3.33,3.35,3.3,1834600.0
2020-12-09T00:00:00+08:00,3.27,3.31,3.34,3.26,2396201.0
2020-12-10T00:00:00+08:00,3.34,3.29,3.36,3.28,4476819.0
2020-12-11T00:00:00+08:00,3.26,3.36,3.41,3.25,6514800.0
2020-12-14T00:00:00+08:00,3.22,3.25,3.25,3.2,4249299.0
2020-12-15T00:00:00+08:00,3.25,3.21,3.27,3.2,1620520.0
2020-12-16T00:00:00+08:00,3.21,3.25,3.26,3.2,2410492.0
2020-12-17T00:00:00+08:00,3.3,3.21,3.32,3.19,4140792.0
2020-12-18T00:00:00+08:00,3.31,3.28,3.35,3.27,8660283.0
2020-12-21T00:00:00+08:00,3.32,3.33,3.34,3.3,5868875.0
2020-12-22T00:00:00+08:00,3.21,3.31,3.31,3.2,5735233.0
2020-12-23T00:00:00+08:00,3.19,3.2,3.22,3.16,5528136.0
2020-12-24T00:00:00+08:00,3.16,3.18,3.2,3.14,2763500.0
2020-12-25T00:00:00+08:00,3.22,3.16,3.22,3.13,3465371.0
2020-12-28T00:00:00+08:00,3.2,3.21,3.22,3.17,3107777.0
2020-12-29T00:00:00+08:00,3.21,3.2,3.32,3.17,5513501.0
2020-12-30T00:00:00+08:00,3.19,3.2,3.22,3.18,2381901.0
2020-12-31T00:00:00+08:00,3.2,3.19,3.21,3.17,3067465.0
2021-01-04T00:00:00+08:00,3.2,3.2,3.22,3.18,3904294.0
2021-01-05T00:00:00+08:00,3.18,3.18,3.19,3.15,3739966.0
2021-01-06T00:00:00+08:00,3.15,3.17,3.18,3.13,3107890.0
2021-01-07T00:00:00+08:00,3.16,3.15,3.18,3.14,4053149.0
2021-01-08T00:00:00+08:00,3.14,3.16,3.16,3.12,4080145.0
2021-01-11T00:00:00+08:00,3.06,3.13,3.13,3.06,3626858.0
2021-01-12T00:00:00+08:00,3.07,3.06,3.1,3.05,2524029.0
2021-01-13T00:00:00+08:00,3.06,3.07,3.08,3.01,3221652.0
