date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,4.03,3.9,4.06,3.9,25095034.0
2020-11-17T00:00:00+08:00,4.14,4.08,4.25,4.01,43578127.0
2020-11-18T00:00:00+08:00,4.27,4.15,4.45,4.1,46517070.0
2020-11-19T00:00:00+08:00,4.21,4.3,4.37,4.15,34774718.0
2020-11-20T00:00:00+08:00,4.21,4.18,4.25,4.1,25464321.0
2020-11-23T00:00:00+08:00,4.27,4.19,4.35,4.19,33344504.0
2020-11-24T00:00:00+08:00,4.28,4.25,4.33,4.22,23532805.0
2020-11-25T00:00:00+08:00,4.19,4.32,4.36,4.18,27744017.0
2020-11-26T00:00:00+08:00,4.08,4.17,4.19,4.07,19515331.0
2020-11-27T00:00:00+08:00,4.12,4.12,4.19,4.04,19937980.0
2020-11-30T00:00:00+08:00,4.1,4.1,4.2,4.09,21366897.0
2020-12-01T00:00:00+08:00,4.12,4.08,4.15,4.04,19404706.0
2020-12-02T00:00:00+08:00,4.15,4.13,4.19,4.1,18337374.0
2020-12-03T00:00:00+08:00,4.09,4.13,4.17,4.08,16696442.0
2020-12-04T00:00:00+08:00,4.07,4.11,4.11,4.04,15140455.0
2020-12-07T00:00:00+08:00,3.96,4.07,4.07,3.95,17664011.0
2020-12-08T00:00:00+08:00,3.92,3.96,3.98,3.92,10884998.0
2020-12-09T00:00:00+08:00,3.9,3.92,3.95,3.88,11193953.0
2020-12-10T00:00:00+08:00,3.98,3.9,4.03,3.9,15767692.0
2020-12-11T00:00:00+08:00,3.85,4.01,4.03,3.81,22041331.0
2020-12-14T00:00:00+08:00,3.81,3.83,3.84,3.75,10535989.0
2020-12-15T00:00:00+08:00,3.84,3.8,3.87,3.77,8993757.0
2020-12-16T00:00:00+08:00,3.86,3.86,3.9,3.83,9973833.0
2020-12-17T00:00:00+08:00,3.92,3.83,3.94,3.83,14602637.0
2020-12-18T00:00:00+08:00,3.99,3.97,4.05,3.96,16867023.0
2020-12-21T00:00:00+08:00,4.02,4.0,4.05,3.96,14763082.0
2020-12-22T00:00:00+08:00,3.92,4.05,4.05,3.89,15616021.0
2020-12-23T00:00:00+08:00,3.91,3.85,3.95,3.85,12345482.0
2020-12-24T00:00:00+08:00,3.81,3.91,3.91,3.78,13099272.0
2020-12-25T00:00:00+08:00,3.94,3.82,3.97,3.79,14243912.0
2020-12-28T00:00:00+08:00,3.9,3.97,3.99,3.88,11374617.0
2020-12-29T00:00:00+08:00,3.86,3.93,3.96,3.82,14747936.0
2020-12-30T00:00:00+08:00,3.86,3.86,3.9,3.83,10968388.0
2020-12-31T00:00:00+08:00,3.83,3.85,3.87,3.8,12680354.0
2021-01-04T00:00:00+08:00,3.82,3.82,3.86,3.78,13375969.0
2021-01-05T00:00:00+08:00,3.75,3.8,3.81,3.69,17521097.0
2021-01-06T00:00:00+08:00,3.73,3.75,3.76,3.69,11533543.0
2021-01-07T00:00:00+08:00,3.72,3.71,3.78,3.68,17710485.0
2021-01-08T00:00:00+08:00,3.76,3.75,3.78,3.64,19055247.0
2021-01-11T00:00:00+08:00,3.67,3.8,3.82,3.65,16220112.0
2021-01-12T00:00:00+08:00,3.66,3.64,3.67,3.62,11852897.0
2021-01-13T00:00:00+08:00,3.63,3.65,3.66,3.59,10858342.0
2021-01-14T00:00:00+08:00,3.67,3.62,3.7,3.58,11973162.0
2021-01-15T00:00:00+08:00,3.62,3.65,3.69,3.61,10251296.0
2021-01-18T00:00:00+08:00,3.63,3.61,3.66,3.59,11101501.0
2021-01-19T00:00:00+08:00,3.66,3.64,3.68,3.6,10684883.0
2021-01-20T00:00:00+08:00,3.75,3.68,3.81,3.68,18887750.0
2021-01-21T00:00:00+08:00,3.71,3.75,3.75,3.69,11171912.0
2021-01-22T00:00:00+08:00,3.64,3.72,3.73,3.63,9260874.0
2021-01-25T00:00:00+08:00,3.56,3.62,3.63,3.55,11136674.0
2021-01-26T00:00:00+08:00,3.63,3.55,3.63,3.49,10289556.0
2021-01-27T00:00:00+08:00,3.56,3.62,3.69,3.56,9788840.0
2021-01-28T00:00:00+08:00,3.6,3.56,3.62,3.53,9733787.0
2021-01-29T00:00:00+08:00,3.8,3.58,3.96,3.58,31527040.0
2021-02-01T00:00:00+08:00,3.74,3.8,3.85,3.68,15081351.0
2021-02-02T00:00:00+08:00,3.74,3.69,3.82,3.68,11811119.0
2021-02-03T00:00:00+08:00,3.69,3.74,3.75,3.66,9695402.0
2021-02-04T00:00:00+08:00,3.61,3.66,3.69,3.57,11578647.0
2021-02-05T00:00:00+08:00,3.58,3.6,3.65,3.58,6046420.0
2021-02-08T00:00:00+08:00,3.56,3.56,3.62,3.54,10128750.0
2021-02-09T00:00:00+08:00,3.64,3.56,3.71,3.54,10831728.0
2021-02-10T00:00:00+08:00,3.63,3.63,3.66,3.61,6514874.0
2021-02-18T00:00:00+08:00,3.75,3.68,3.77,3.67,13036868.0
2021-02-19T00:00:00+08:00,3.86,3.74,3.87,3.71,16447272.0
2021-02-22T00:00:00+08:00,4.24,3.89,4.25,3.89,51619264.0
2021-02-23T00:00:00+08:00,4.12,4.24,4.24,4.07,35298895.0
2021-02-24T00:00:00+08:00,4.03,4.13,4.16,4.02,21184729.0
2021-02-25T00:00:00+08:00,4.17,4.1,4.21,4.08,26974830.0
2021-02-26T00:00:00+08:00,3.99,4.1,4.14,3.98,25804713.0
2021-03-01T00:00:00+08:00,4.18,4.04,4.2,4.03,29409343.0
2021-03-02T00:00:00+08:00,4.18,4.23,4.38,4.15,29915208.0
2021-03-03T00:00:00+08:00,4.43,4.2,4.5,4.19,47889162.0
2021-03-04T00:00:00+08:00,4.56,4.33,4.83,4.28,69475631.0
2021-03-05T00:00:00+08:00,4.24,4.44,4.44,4.18,49097037.0
2021-03-08T00:00:00+08:00,4.22,4.29,4.4,4.19,33821227.0
2021-03-09T00:00:00+08:00,4.31,4.18,4.46,4.15,38125294.0
2021-03-10T00:00:00+08:00,4.19,4.25,4.36,4.17,22463047.0
2021-03-11T00:00:00+08:00,4.37,4.18,4.4,4.12,35931603.0
2021-03-12T00:00:00+08:00,4.37,4.39,4.48,4.33,36152966.0
2021-03-15T00:00:00+08:00,4.52,4.4,4.68,4.38,51360389.0
2021-03-16T00:00:00+08:00,4.49,4.51,4.58,4.45,27377419.0
2021-03-17T00:00:00+08:00,4.33,4.47,4.51,4.27,32524257.0
2021-03-18T00:00:00+08:00,4.42,4.39,4.5,4.35,31077804.0
2021-03-19T00:00:00+08:00,4.49,4.35,4.74,4.3,51788078.0
2021-03-22T00:00:00+08:00,4.94,4.64,4.94,4.64,29971547.0
2021-03-23T00:00:00+08:00,4.8,4.99,5.1,4.66,85689360.0
2021-03-24T00:00:00+08:00,4.59,4.66,4.73,4.51,52415822.0
2021-03-25T00:00:00+08:00,4.52,4.56,4.67,4.5,42117040.0
2021-03-26T00:00:00+08:00,4.57,4.54,4.64,4.53,32893867.0
2021-03-29T00:00:00+08:00,4.64,4.58,4.72,4.51,38470864.0
2021-03-30T00:00:00+08:00,4.61,4.61,4.7,4.53,28977168.0
2021-03-31T00:00:00+08:00,4.61,4.61,4.61,4.61,0.0
2021-04-01T00:00:00+08:00,4.53,4.59,4.74,4.21,48483842.0
2021-04-02T00:00:00+08:00,4.42,4.51,4.57,4.41,26152567.0
2021-04-06T00:00:00+08:00,4.52,4.5,4.65,4.48,26931947.0
2021-04-07T00:00:00+08:00,4.97,4.75,4.97,4.67,89616447.0
2021-04-08T00:00:00+08:00,5.1,5.17,5.4,5.04,133560293.0
2021-04-09T00:00:00+08:00,5.01,5.13,5.17,4.93,77500822.0
2021-04-12T00:00:00+08:00,5.27,5.0,5.35,4.9,92076855.0
2021-04-13T00:00:00+08:00,5.11,5.16,5.26,5.05,45332214.0
2021-04-14T00:00:00+08:00,5.12,5.01,5.2,5.0,35791667.0
2021-04-15T00:00:00+08:00,5.07,5.1,5.12,4.98,32438593.0
2021-04-16T00:00:00+08:00,5.12,5.06,5.18,5.05,29779707.0
2021-04-19T00:00:00+08:00,5.08,5.11,5.14,5.01,28509650.0
2021-04-20T00:00:00+08:00,5.09,5.1,5.18,5.05,30585253.0
2021-04-21T00:00:00+08:00,5.02,5.07,5.09,4.9,26177737.0
2021-04-22T00:00:00+08:00,5.15,5.12,5.25,5.1,46755211.0
2021-04-23T00:00:00+08:00,5.2,5.13,5.25,5.1,35829091.0
2021-04-26T00:00:00+08:00,5.15,5.22,5.3,5.14,33688782.0
2021-04-27T00:00:00+08:00,5.1,5.1,5.2,5.03,25116423.0
2021-04-28T00:00:00+08:00,5.11,5.09,5.19,5.03,25292819.0
2021-04-29T00:00:00+08:00,5.08,5.11,5.12,4.97,26341685.0
2021-04-30T00:00:00+08:00,5.04,5.1,5.15,5.0,21138621.0
2021-05-06T00:00:00+08:00,5.35,5.15,5.4,5.15,51761311.0
2021-05-07T00:00:00+08:00,5.57,5.35,5.67,5.32,78118943.0
2021-05-10T00:00:00+08:00,6.13,5.82,6.13,5.81,117469772.0
2021-05-11T00:00:00+08:00,6.16,6.13,6.32,6.0,126354997.0
2021-05-12T00:00:00+08:00,6.42,6.28,6.65,6.21,107631712.0
2021-05-13T00:00:00+08:00,6.06,6.3,6.43,6.04,67099197.0
2021-05-14T00:00:00+08:00,6.1,6.2,6.27,5.97,56337832.0
2021-05-17T00:00:00+08:00,6.04,6.07,6.16,5.91,44970395.0
2021-05-18T00:00:00+08:00,6.06,6.11,6.15,6.01,28983543.0
2021-05-19T00:00:00+08:00,5.86,6.0,6.0,5.7,42050268.0
2021-05-20T00:00:00+08:00,5.54,5.35,5.62,5.35,47410724.0
2021-05-21T00:00:00+08:00,5.66,5.52,5.72,5.4,38069002.0
2021-05-24T00:00:00+08:00,5.47,5.53,5.65,5.42,30690410.0
2021-05-25T00:00:00+08:00,5.52,5.64,5.71,5.34,43605564.0
2021-05-26T00:00:00+08:00,5.45,5.48,5.51,5.37,34326221.0
2021-05-27T00:00:00+08:00,5.43,5.43,5.5,5.33,33198896.0
2021-05-28T00:00:00+08:00,5.48,5.54,5.58,5.43,27885001.0
2021-05-31T00:00:00+08:00,5.43,5.51,5.57,5.39,28035031.0
2021-06-01T00:00:00+08:00,5.45,5.34,5.51,5.18,45840286.0
2021-06-02T00:00:00+08:00,5.33,5.45,5.47,5.3,23411661.0
2021-06-03T00:00:00+08:00,5.45,5.3,5.63,5.25,40478251.0
2021-06-04T00:00:00+08:00,5.44,5.41,5.53,5.3,23034990.0
2021-06-07T00:00:00+08:00,5.44,5.44,5.5,5.38,15264347.0
2021-06-08T00:00:00+08:00,5.43,5.4,5.5,5.33,14763492.0
2021-06-09T00:00:00+08:00,5.97,5.43,5.97,5.4,63989336.0
2021-06-10T00:00:00+08:00,6.1,5.83,6.13,5.68,74171668.0
2021-06-11T00:00:00+08:00,6.06,6.1,6.2,6.01,43448008.0
2021-06-15T00:00:00+08:00,5.92,6.15,6.15,5.79,34306904.0
2021-06-16T00:00:00+08:00,5.72,5.9,5.91,5.71,20732489.0
2021-06-17T00:00:00+08:00,5.49,5.76,5.81,5.43,29094046.0
2021-06-18T00:00:00+08:00,5.39,5.46,5.48,5.33,22323093.0
2021-06-21T00:00:00+08:00,5.55,5.46,5.63,5.42,33088988.0
2021-06-22T00:00:00+08:00,5.48,5.55,5.57,5.4,24715861.0
2021-06-23T00:00:00+08:00,5.46,5.41,5.51,5.38,20304120.0
2021-06-24T00:00:00+08:00,5.45,5.42,5.45,5.26,38418054.0
2021-06-25T00:00:00+08:00,5.71,5.39,5.73,5.3,43743646.0
2021-06-28T00:00:00+08:00,5.43,5.59,5.67,5.41,42702071.0
