date,close,open,high,low,volume
2020-11-16T00:00:00-05:00,5.7,5.9,5.9,5.7,5000.0
2020-11-17T00:00:00-05:00,5.8,5.8,5.89,5.77,28937.0
2020-11-18T00:00:00-05:00,5.93,5.95,5.95,5.79,17124.0
2020-11-19T00:00:00-05:00,6.03,5.97,6.1,5.91,30700.0
2020-11-20T00:00:00-05:00,6.04,6.19,6.19,6.04,10800.0
2020-11-23T00:00:00-05:00,6.09,6.23,6.23,6.06,19500.0
2020-11-24T00:00:00-05:00,6.21,6.08,6.24,6.07,10819.0
2020-11-25T00:00:00-05:00,6.19,6.19,6.27,6.17,17000.0
2020-11-27T00:00:00-05:00,6.24,6.2,6.29,6.18,6246.0
2020-11-30T00:00:00-05:00,6.21,6.2,6.35,6.17,15800.0
2020-12-01T00:00:00-05:00,6.39,6.24,6.46,6.21,17500.0
2020-12-02T00:00:00-05:00,6.49,6.4,6.52,6.36,17746.0
2020-12-03T00:00:00-05:00,7.1,6.55,7.18,6.55,77616.0
2020-12-04T00:00:00-05:00,7.17,7.05,7.3,7.01,28809.0
2020-12-07T00:00:00-05:00,7.15,7.15,7.19,7.01,14500.0
2020-12-08T00:00:00-05:00,7.01,7.15,7.18,7.01,12900.0
2020-12-09T00:00:00-05:00,7.08,7.09,7.14,7.06,27034.0
2020-12-10T00:00:00-05:00,7.05,7.03,7.14,7.02,18101.0
2020-12-11T00:00:00-05:00,6.94,7.05,7.13,6.74,11910.0
2020-12-14T00:00:00-05:00,6.81,6.9,7.08,6.8,15738.0
2020-12-15T00:00:00-05:00,7.01,7.08,7.11,6.55,27100.0
2020-12-16T00:00:00-05:00,6.81,6.8,7.09,6.8,9014.0
2020-12-17T00:00:00-05:00,7.05,6.97,7.14,6.91,9103.0
2020-12-18T00:00:00-05:00,6.76,7.12,7.12,6.76,15600.0
2020-12-21T00:00:00-05:00,6.93,6.7,7.08,6.7,7843.0
2020-12-22T00:00:00-05:00,6.9,6.96,7.02,6.9,10518.0
2020-12-23T00:00:00-05:00,6.9,6.91,7.02,6.86,12400.0
