date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,2.82,2.72,2.83,2.71,78124430.0
2020-11-17T00:00:00+08:00,2.81,2.83,2.84,2.78,52299499.0
2020-11-18T00:00:00+08:00,2.8,2.81,2.84,2.77,46707900.0
2020-11-19T00:00:00+08:00,2.78,2.81,2.83,2.76,36723994.0
2020-11-20T00:00:00+08:00,2.81,2.78,2.82,2.76,32870551.0
2020-11-23T00:00:00+08:00,2.85,2.81,2.88,2.81,86562485.0
2020-11-24T00:00:00+08:00,2.86,2.84,2.88,2.84,54372089.0
2020-11-25T00:00:00+08:00,2.84,2.88,2.91,2.83,57764824.0
2020-11-26T00:00:00+08:00,2.81,2.83,2.85,2.79,38649086.0
2020-11-27T00:00:00+08:00,2.85,2.84,2.9,2.79,57587675.0
2020-11-30T00:00:00+08:00,2.78,2.87,2.9,2.78,95838327.0
2020-12-01T00:00:00+08:00,2.82,2.79,2.84,2.78,49185046.0
2020-12-02T00:00:00+08:00,2.84,2.84,2.86,2.8,47922002.0
2020-12-03T00:00:00+08:00,2.79,2.83,2.84,2.78,46908691.0
2020-12-04T00:00:00+08:00,2.77,2.78,2.8,2.74,36417260.0
2020-12-07T00:00:00+08:00,2.74,2.78,2.78,2.73,31375052.0
2020-12-08T00:00:00+08:00,2.69,2.74,2.74,2.69,34519961.0
2020-12-09T00:00:00+08:00,2.68,2.69,2.71,2.68,25662812.0
2020-12-10T00:00:00+08:00,2.74,2.68,2.76,2.67,56433378.0
2020-12-11T00:00:00+08:00,2.78,2.76,2.8,2.68,65830622.0
2020-12-14T00:00:00+08:00,2.67,2.73,2.73,2.64,65266799.0
2020-12-15T00:00:00+08:00,2.66,2.67,2.67,2.64,21687317.0
2020-12-16T00:00:00+08:00,2.64,2.66,2.68,2.63,21981431.0
2020-12-17T00:00:00+08:00,2.69,2.65,2.7,2.63,37822324.0
2020-12-18T00:00:00+08:00,2.75,2.7,2.77,2.69,61112669.0
2020-12-21T00:00:00+08:00,2.77,2.77,2.79,2.75,38570294.0
2020-12-22T00:00:00+08:00,2.69,2.76,2.77,2.68,35978937.0
2020-12-23T00:00:00+08:00,2.69,2.69,2.72,2.68,25538263.0
2020-12-24T00:00:00+08:00,2.65,2.71,2.71,2.65,26990452.0
