date,close,open,high,low,volume
2020-11-16T00:00:00+08:00,3.29,3.2,3.32,3.19,66473029.0
2020-11-17T00:00:00+08:00,3.28,3.31,3.34,3.27,54586759.0
2020-11-18T00:00:00+08:00,3.29,3.28,3.33,3.25,55837249.0
2020-11-19T00:00:00+08:00,3.25,3.28,3.33,3.23,54188552.0
2020-11-20T00:00:00+08:00,3.3,3.25,3.31,3.22,53612700.0
2020-11-23T00:00:00+08:00,3.34,3.31,3.38,3.28,95043903.0
2020-11-24T00:00:00+08:00,3.34,3.31,3.37,3.29,60314379.0
2020-11-25T00:00:00+08:00,3.26,3.36,3.39,3.26,64521195.0
2020-11-26T00:00:00+08:00,3.26,3.25,3.29,3.22,32050122.0
2020-11-27T00:00:00+08:00,3.31,3.28,3.38,3.27,55911717.0
2020-11-30T00:00:00+08:00,3.26,3.29,3.36,3.26,71218524.0
2020-12-01T00:00:00+08:00,3.28,3.25,3.29,3.23,46743631.0
2020-12-02T00:00:00+08:00,3.32,3.3,3.35,3.27,49202822.0
2020-12-03T00:00:00+08:00,3.27,3.31,3.32,3.26,42146927.0
2020-12-04T00:00:00+08:00,3.27,3.28,3.28,3.21,35884236.0
2020-12-07T00:00:00+08:00,3.22,3.27,3.29,3.22,34336254.0
2020-12-08T00:00:00+08:00,3.17,3.22,3.23,3.16,35602187.0
2020-12-09T00:00:00+08:00,3.19,3.18,3.23,3.17,36254769.0
2020-12-10T00:00:00+08:00,3.3,3.19,3.34,3.19,79419788.0
2020-12-11T00:00:00+08:00,3.34,3.34,3.37,3.28,90694239.0
2020-12-14T00:00:00+08:00,3.18,3.32,3.32,3.16,79001017.0
2020-12-15T00:00:00+08:00,3.16,3.18,3.18,3.12,26726893.0
2020-12-16T00:00:00+08:00,3.16,3.17,3.2,3.13,20498985.0
2020-12-17T00:00:00+08:00,3.24,3.15,3.25,3.14,40300499.0
2020-12-18T00:00:00+08:00,3.31,3.23,3.36,3.23,79871629.0
2020-12-21T00:00:00+08:00,3.32,3.33,3.34,3.28,50168844.0
2020-12-22T00:00:00+08:00,3.19,3.31,3.31,3.18,53713718.0
2020-12-23T00:00:00+08:00,3.19,3.19,3.23,3.17,31248360.0
2020-12-24T00:00:00+08:00,3.15,3.19,3.22,3.13,29985600.0
2020-12-25T00:00:00+08:00,3.22,3.14,3.24,3.13,32497794.0
2020-12-28T00:00:00+08:00,3.14,3.22,3.23,3.13,46960291.0
2020-12-29T00:00:00+08:00,3.12,3.16,3.19,3.11,38352069.0
2020-12-30T00:00:00+08:00,3.11,3.13,3.15,3.1,32689000.0
2020-12-31T00:00:00+08:00,3.12,3.11,3.14,3.1,28497569.0
2021-01-04T00:00:00+08:00,3.13,3.12,3.16,3.1,40288411.0
2021-01-05T00:00:00+08:00,3.1,3.11,3.13,3.07,42918068.0
2021-01-06T00:00:00+08:00,3.11,3.1,3.12,3.09,23830089.0
2021-01-07T00:00:00+08:00,3.14,3.11,3.17,3.09,56120972.0
2021-01-08T00:00:00+08:00,3.15,3.13,3.17,3.1,38531300.0
2021-01-11T00:00:00+08:00,3.1,3.15,3.16,3.08,36789100.0
2021-01-12T00:00:00+08:00,3.12,3.09,3.12,3.07,21401578.0
2021-01-13T00:00:00+08:00,3.07,3.12,3.12,3.05,40166884.0
2021-01-14T00:00:00+08:00,3.08,3.05,3.09,3.05,33716236.0
2021-01-15T00:00:00+08:00,3.05,3.07,3.09,3.04,36488865.0
2021-01-18T00:00:00+08:00,3.05,3.06,3.07,3.04,33179281.0
2021-01-19T00:00:00+08:00,3.04,3.05,3.06,3.01,35202625.0
2021-01-20T00:00:00+08:00,3.08,3.05,3.1,3.04,37681964.0
2021-01-21T00:00:00+08:00,3.08,3.08,3.11,3.05,28367777.0
2021-01-22T00:00:00+08:00,3.06,3.07,3.09,3.04,25986443.0
2021-01-25T00:00:00+08:00,3.06,3.07,3.07,3.04,25313696.0
2021-01-26T00:00:00+08:00,3.07,3.06,3.08,3.04,24606493.0
